seller_id,faturamento,pedidos,itens,nota_media,prazo_medio,taxa_atraso,estado,categorias,ticket_medio,participacao,seller_label
fe2032dab1a61af8794248c8196565c9,65689.71,293,305,4.395348837209302,10.600771782027929,0.08524590163934426,SP,2,224.19696245733792,0.004984128734885098,fe2032da
8581055ce74af1daba164fdbd55a40de,63893.92,379,426,4.263529411764706,12.83171940206051,0.09859154929577464,SP,1,168.58554089709762,0.004847875301267879,8581055c
cca3071e3e9bb7d12640c9fbe2301306,62081.46,691,804,3.872935196950445,14.129815908881518,0.05472636815920398,SP,5,89.84292329956584,0.004710357051197513,cca3071e
04308b1ee57b6625f47df1d56f00eedf,58991.8,92,92,3.9456521739130435,18.87600291867955,0.11956521739130435,SC,1,641.2152173913043,0.004475932767896139,04308b1e
522620dcb18a6b31cd7bdf73665113a9,55981.69,169,175,3.9127906976744184,15.15585119047619,0.10285714285714286,PR,11,331.2526035502959,0.004247544246373286,522620dc
de722cd6dad950a92b7d4f82673f8833,55126.3,337,377,4.167553191489362,12.76760370615974,0.03978779840848806,PE,2,163.57952522255195,0.004182642545961862,de722cd6
37be5a7c751166fbc5f8ccba4119e043,54735.55,269,278,4.327272727272727,10.607953304023448,0.025179856115107913,SP,2,203.4778810408922,0.004152994853756243,37be5a7c
17e34d8224d27a541263c4c64b11a56b,54440.28,247,260,4.2015503875969,14.041841435185184,0.08076923076923077,SP,12,220.40599190283402,0.004130591593161098,17e34d82
7ddcbb64b5bc1ef36ca8c151f6ec77df,54435.66,325,334,3.97583081570997,12.63763847305389,0.08383233532934131,SP,9,167.49433846153846,0.004130241056147688,7ddcbb64
25c5c91f63607446a97b143d2d535d31,54208.78,156,266,3.7471698113207546,13.9284769649819,0.06015037593984962,MG,2,347.4921794871795,0.0041130268055843845,25c5c91f
218d46b86c1881d022bce9c68a7d4b15,53710.3,382,420,4.172248803827751,13.80322260802469,0.09047619047619047,SP,3,140.60287958115185,0.004075205227566069,218d46b8
ceaec5548eefc6e23e6607c5435102e7,51478.18,198,206,4.201970443349754,12.918996932308522,0.05825242718446602,SP,7,259.9908080808081,0.003905845773372836,ceaec554
f5a590cf36251cf1162ea35bef76fe84,51232.78,113,118,4.279661016949152,11.821742879001883,0.1016949152542373,SP,4,453.38743362831855,0.0038872263398033956,f5a590cf
e882b2a25a10b9c057cc49695f222c19,51057.54,57,58,4.586206896551724,9.458802681992339,0.0,RJ,8,895.7463157894737,0.0038739302129137923,e882b2a2
2bf6a2c1e71bbd29a4ad64e6d3c3629f,50628.9,30,31,4.193548387096774,13.368179510155317,0.0967741935483871,RJ,2,1687.63,0.003841407661955337,2bf6a2c1
f8db351d8c4c4c22c6835c19a46f01b0,50082.6,659,714,4.251758087201125,9.914259048526818,0.058823529411764705,SP,20,75.997875569044,0.0037999577982267903,f8db351d
b2ba3715d723d245138f291a6fe42594,49172.38,323,348,4.223188405797101,13.90829072876756,0.08620689655172414,SP,27,152.23647058823528,0.0037308959366800258,b2ba3715
17f51e7198701186712e53a39c564617,48019.0,56,61,4.344262295081967,22.76142418032787,0.08196721311475409,SP,1,857.4821428571429,0.003643384598903656,17f51e71
8160255418d5aaa7dbdc9f4c64ebda44,46368.39,380,424,3.8544152744630074,16.77892969841894,0.1792452830188679,SP,4,122.02207894736841,0.003518146525374504,81602554
966cb4760537b1404caedd472cc610a5,45928.26,67,67,4.134328358208955,10.040945273631841,0.029850746268656716,SP,1,685.4964179104478,0.0034847521843112696,966cb476
77530e9772f57a62c906e1c21538ab82,45528.6,311,380,4.078947368421052,15.017148422270957,0.11578947368421053,PR,2,146.3942122186495,0.003454428456436931,77530e97
4e922959ae960d389249c378d1c939f5,45319.42,411,445,3.9047619047619047,14.614744043903453,0.10786516853932585,SP,24,110.26622871046229,0.003438557172353575,4e922959
850f4f8af5ea87287ac68de36e29107f,45285.37,186,191,4.288770053475936,10.143654801725809,0.06282722513089005,SP,4,243.46973118279573,0.0034359736690404564,850f4f8a
c826c40d7b19f62a09e2d7c5e7295ee2,44653.04,346,365,4.09065934065934,13.195016837899542,0.09041095890410959,SP,2,129.05502890173412,0.003387996381228866,c826c40d
b33e7c55446eabf8fe1a42d037ac7d6d,44215.17,149,152,4.190789473684211,16.425508269371345,0.13157894736842105,SP,5,296.74610738255035,0.003354773514981715,b33e7c55
ba90964cff9b9e0e6f32b23b82465f7b,44212.5,38,38,4.421052631578948,10.018161245126706,0.05263157894736842,SP,5,1163.4868421052631,0.0033545709319025363,ba90964c
eeb6de78f79159600292e314a77cbd18,43510.84,82,83,4.421686746987952,12.113948153726016,0.03614457831325301,SC,3,530.62,0.0033013333126754234,eeb6de78
c3cfdc648177fdbbbb35635a37472c53,43048.18,278,307,4.447712418300654,9.690750919893835,0.02280130293159609,PR,2,154.84956834532375,0.003266229534618222,c3cfdc64
